이름,전화번호 
적십자병원(주취자/정신질환자),경비 7-2977/02-700-2977/010-7489-0980
남부지방검찰청(수배 웹팩스),02-3219-4555
남부지방검찰청(수배 야간),02-3219-4290
전산수배(서울청),7-4112
전산수배(양천서),202
신호아파트 관리사무소(양천구 신정4동),010-2955-4481
건축과(양천구청),02-2620-3776
행정사(김월수 출입국관리법 상담), 010-2973-9599/ sette715@naver.com
선거경비통합상황실(경비/범예/광역정보7팀),02-2093-8257/02-2093-8329/02-700-6533
글로리병원(정신질환자/아동 청소년 입원 가능 정신병원),032-262-9000
삼성화재(순찰차 보험 2025),080-600-6000
순찰차 차량번호(41호),999오6811
순찰차 차량번호(42호),998오6822
순찰차 차량번호(43호),998오6832
순찰차 차량번호(44호),998오6835
한전콜센터(야간),02-123
노숙인지원센터(노숙자 위기대응콜),1600-9582
건설관리과(양천구청/노점상),02-2620-3621/02-2620-3620
신목초등학교(양천구),02-2649-8497
공원녹지과(양천구청/가로등),02-2620-3570
SK휴대폰위치추적(SK통신사 GI센터),02-6060-0088
112 관리실(서울청),7-2832
5호선 상황실(열차내 방송 가능),02-6311-2715
양동 경로당(신정중앙로2길 10-13),02-2697-8671
서부 경로당(신정중앙로17길 15),02-2605-2239
청솔 경로당(중앙로52길 73),02-2690-9067
양목 경로당(오목로46길 9),02-2691-7662/02-2698-1546
은행정 경로당(오목로38길 16),02-2691-7220
양정 경로당(은행정로7길 42),	02-2693-1755
만수노인정(목동현대A경로당 목동동로12길 59),02-2644-5783
목동아파트경로당(목동동로12길60),02-2643-5943
청구아파트 경로당(신목로2길 11),02-2648-6850
구십경로당(목동현대B경로당/신목로 10),????
TCS 전화번호 확인,TCS>면허민원>안내서비스신청등록
자전거등록,http://bike-admin.yangcheon.go.kr(ID: ycpol4/ PW: knp12345)
피해자보호팀(양천서 여성청소년과/응급입원 퇴원시 연락통보 요청/APO),02-2093-8348(주간)/02-2093-8349(야간)
공중전화(신정역 지하2층/3번출입구),02-2603-0176
공중전화(신정역 지하2층/1번출입구),02-2605-4659
교통과(양천구청/방치차량-자전거/오토바이/차량),02-2620-3695
스마트시티통합플렛폼(양천구청 공공CCTV),cctv.yangcheon.go.kr
삼정병원(정신질환자/아동 청소년 입원 가능 정신병원),032-543-7530
혜상병원(정신질환자),02-844-6119
보현의집(영등포역앞/노숙자),02-2676-3727
여성긴급전화(여성보호/여성 피해자 임시숙소 및 상담연계),02-1366
서울디지털안심센터(여성보호/디지털성범죄 삭제 및 상담 법률지원),02-735-8994
대한법률구조공단(법률지원),02-132
대한가정법률상담원(법률지원),02-2697-0155
학교폭력상담(청소년),1388
학교폭력신고(청소년),117
자살예방상담전화(정신건강/24시간 자살예방 상담 제공),109
한국생명의전화(정신건강/24시간 자살예방 상담 제공),1588-9191
한국도박예방이유원,1336
장애인권익옹호기관,1644-8295
다누리콜센터(통역),1577-1366
해돋이공원관리사무소(송도),032-453-7972
앨리스 고객센터(에그),02-336-4190
홍익병원(응급실),02-2600-0777
남부지방법원,02-2192-1114
남부지방법원(집행과/웹팩스),02-3219-4640
남부지방법원(집행과/일반전화),02-3219-4649
남부지방법원(당직실/웹팩스),02-3219-4555
남부지방법원(당직실/일반전화),02-3219-4290
자동차번호판분실(개인/본인),신분증(사본가능)/자동차등록증(사본가능)
자동차번호판분실(개인/대리인),자동차등록증/대리인신분증/위임장(차주 도장 날인)/소유자의 신분증 사본
자동차번호판분실(법인/대표),자동차등록증/신분증/번인등기부등본or사업자등록증or법인인감증명서
자동차번호판분실(법인/대리인),자동차등록증/대리인신분증/법인위임장(법인인감날인)/법인인감증명서/법인등기부등본(대표자주민번호 뒷자리 미표기 가능)/사업자등록증
남부지방법원(당직실/야간 임시조치 확인),02-2192-1441
남부지방법원 형사단독과 영장계(임시조치 담당),02-2192-1358
서울시자살예방상담센터(핫라인),02-3458-1050
양천경찰서 강력2팀(피싱),02-2093-8493
양천소방서 재난관리과(소방지원/양천구 유관기관),02-6981-8651
육군 제7688부대 작전과(군부대지원/양천구 유관기관),031-449-4113
강서양천교육지원청 재정지원과(학교시설분야/양천구 유관기관),02-2600-0917
강서도로사업소 시설보수과(도로시설분야/양천구 유관기관),02-2675-7972
강서수도사업소 시설관리과(수도시설분야/양천구 유관기관),02-3146-3960
대한적십자사 서울시지사 서부봉사관(봉사관/적십자사지원/양천구 유관기관),02-2181-3154
서울교통공사 당산서비스안전센터(철도재난/양천구 유관기관),02-6110-1583
서울교통공사 화곡영업사업소(철도재난/양천구 유관기관),02-6311-5842
귀뚜라미에너지 강남도시가스(집단에너지/양천구 유관기관),02-2680-4843
서울도시가스 서부지사(집단에너지/양천구 유관기관),02-3660-9068
한국가스안전공사 서울남부지사 검사부(가스안전/양천구 유관기관),02-2038-3918
한국전기안전공사 서울서부지사 기술진단부(전기안전/양천구 유관기관),02-6488-6524
한국전력공사 강서양천지사 배전운영부(전력안전관리/양천구 유관기관),02-2640-2275
KT 목동지점 CM1팀(통신안전/양천구 유관기관),02-2643-0020
양천구시설관리공단 안전관리팀(시설관리/양천구 유관기관),02-2061-3417
지하철경찰대 수사4팀(당산),02-708-1978
지하철경찰대 수사지원팀,02-700-2887
신정4동 주민센터 행정협력팀 팀장,02-2620-4273
신정4동 주민센터 복지건강1팀 팀장,02-2620-4252
신정4동 주민센터 복지건강2팀 팀장,02-2620-4261
신정4동 주민센터 복지건강2팀,02-2620-4256
서울청 연말정산(양천서 담당),02-700-6066







